Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
4,durchatmen,Derin nefes almak,يتنفس بعمق,نفس راحت کشیدن,Bêhna xwe fireh kirin,віддихатися,to take a deep breath,Nach der stressigen Prüfungsphase muss ich erst einmal tief durchatmen und entspannen.
4,sich etwas erfüllen,Hayalini gerçekleştirmek,يحقق أمنية,آرزویی را برآورده کردن,Miradê xwe girtin,здійснити (бажання),to fulfill sth. (a dream),Mit dem Kauf des kleinen Hauses am Meer hat er sich einen langgehegten Traum erfüllt.
4,sich leisten,Parası yetmek / yapabilmek,يتحمل تكلفة,از عهده برآمدن,Karîn,дозволити собі,to afford,"Da er gut verdient, kann er sich jedes Jahr einen Luxusurlaub in der Karibik leisten."
4,sich wenden an (+Akk),Birine başvurmak,يتوجه إلى,مراجعه کردن به,Serî lê dan,звертатися до,to turn to / contact,Bei technischen Problemen können Sie sich jederzeit an unseren Support wenden.
4,berechtigt sein,Yetkili/hak sahibi olmak,يكون مخولاً,حق داشتن,Mafdar bûn,мати право,to be entitled,"Nur Personen mit einem gültigen Ausweis sind dazu berechtigt, das Gelände zu betreten."
4,jedem selbst überlassen sein,Kişinin kendisine kalmış,متروك لكل شخص,به عهده خود شخص بودن,Li ser daxwaza her kesî,залишати на власний розсуд,to be up to everyone,"Es ist jedem selbst überlassen, wie er seine Freizeit am liebsten gestalten möchte."
4,"die Bereicherung, -en","Zenginleşme, katkı",إثراء / غنى,غنی‌سازی,Dewlemendî,збагачення,enrichment,Das Praktikum im Ausland war eine große persönliche Bereicherung für mein Leben.
4,"der Eintrag, -¨e","Kayıt, girdi",قيد / تدوين,ورودی / ثبت,Tomar,запис,entry / post,Sie schrieb einen interessanten Eintrag in ihren Blog über ihre Erfahrungen als Volontärin.
4,"das Mitbringsel, -",Hediyelik (küçük),هدية بسيطة,سوغاتی کوچک,Diyarî,невеликий подарунок,souvenir,Als kleines Mitbringsel aus dem Urlaub schenkte er mir eine Packung lokalen Tee.
4,beifügen,"İliştirmek, eklemek",يرفق / يضيف,ضمیمه کردن,Lê zêde kirin,додавати,to enclose / attach,"Bitte vergessen Sie nicht, Ihrer Bewerbung ein aktuelles Foto beizufügen."
4,bewerten,Değerlendirmek,يقيم,ارزیابی کردن,Nirxandin,оцінювати,to evaluate,"Die Qualität des Service wurde von den Kunden als ""sehr gut"" bewertet."
4,zugeben,İtiraf etmek,يعترف بـ,اعتراف کردن,Pejirandin,визнавати,to admit,"Er musste schließlich zugeben, dass er bei der Bearbeitung des Berichts einen Fehler gemacht hatte."
4,eine Erfahrung nicht missen wollen,Bir tecrübeden mahrum kalmak istememek,لا يريد تفويت الخبرة,نخواستن از دست دادن تجربه,Nexwestina windakirina ezmûnê,не хотіти втрачати досвід,not want to miss an exp.,Trotz der harten Arbeit wollte er diese wertvolle Erfahrung auf keinen Fall missen.
4,lohnend,Zahmete değer,مفيد / مجزٍ,ارزشمند / سودمند,Hêja,вартий уваги / вигідний,worthwhile,"Die Teilnahme an dem Workshop war sehr lohnend, da ich viel Neues gelernt habe."
4,die Berufsorientierung,Mesleki yönlendirme,توجيه مهني,هدایت شغلی,Berê karkirinê,професійна орієнтація,career orientation,Die Schule bietet spezielle Programme zur Berufsorientierung für die oberen Klassen an.
4,"die Messe, -n",Fuar,معرض,نمایشگاه,Pêşangeh,ярмарок / виставка,career fair,Auf der Berufsorientierungsmesse können sich Schüler über verschiedene Berufe informieren.
4,"der Notendurchschnitt, -e",Not ortalaması,معدل الدرجات,معدل نمرات,Navîniya nîşanan,середній бал,GPA / average grade,"Um Medizin studieren zu können, benötigt man meist einen sehr guten Notendurchschnitt."
4,der Leistungsdruck,Başarı baskısı,ضغط الأداء,فشار روانی برای موفقیت,Zexta serkeftinê,тиск успішності,pressure to perform,Viele Studenten leiden unter dem enormen Leistungsdruck während der Prüfungszeit.
4,"die Vorliebe, -n","Tercih, özel ilgi",تفضيل / ولع,علاقه خاص,Meyl,перевага / пристрасть,preference,Sie hat eine besondere Vorliebe für klassische Musik und besucht oft Konzerte.
4,"der Werkstudent, -en",Çalışan öğrenci,طالب يعمل,دانشجوی شاغل,Xwendekarê karker,"студент, що працює",working student,Als Werkstudent sammelt er praktische Erfahrungen und finanziert gleichzeitig sein Studium.
4,jemandem absagen,Birini reddetmek,يعتذر لشخص,جواب رد دادن,Red kirin,відмовляти комусь,to cancel on someone,"Ich musste meiner Freundin leider kurzfristig absagen, da ich länger arbeiten musste."
4,jemandem zusagen,Birine onay vermek,يوافق لشخص,قبول کردن پیشنهاد,Pejirandin,обіцяти / погоджуватися,to accept / promise,"Nachdem er die Einladung erhalten hatte, hat er sofort freudig zugesagt."
4,geeignet sein für,...için uygun olmak,يكون مناسباً لـ,مناسب بودن برای,Minasib bûn,бути придатним для,to be suitable for,Er ist aufgrund seiner Sprachkenntnisse bestens für die Stelle im Ausland geeignet.
4,infrage kommen,Söz konusu olmak,يكون وارداً,مطرح بودن,Ketina ber çavan,бути можливим / розглядатися,to be an option,Für mich kommt eine Reise in den Norden dieses Jahr aus finanziellen Gründen nicht infrage.
4,ausnahmsweise,İstisnai olarak,على سبيل الاستثناء,به طور استثنائی,Bi îstîsna,як виняток,as an exception,"Heute darfst du ausnahmsweise mal länger aufbleiben, weil morgen schulfrei ist."
4,dummerweise,Aptalca bir şekilde,من سوء الحظ / بحماقة,از روی نادانی,Bi nezanî,по-дурному,stupidly,Dummerweise habe ich meinen Schlüssel im Büro liegen lassen und mich ausgesperrt.
4,erfreulicherweise,Sevindirici bir şekilde,من حسن الحظ,خوشبختانه,Bi dilşadî,на щастя,gratifyingly,Erfreulicherweise haben sich die Verkaufszahlen in diesem Monat deutlich stabilisiert.
4,erstaunlicherweise,Şaşırtıcı bir şekilde,لدهشة المرء,به طرز شگفت‌آوری,Bi ecêbgirî,на диво,surprisingly,"Erstaunlicherweise war die Prüfung viel einfacher, als ich es zuvor erwartet hatte."
4,probeweise,Deneme amaçlı,على سبيل التجربة,آزمایشی,Bo ceribandinê,як спроба,on a trial basis,Er arbeitet erst einmal probeweise für zwei Wochen in der neuen Firma.
4,sinnvollerweise,Mantıklı olarak,بشكل منطقي,به طور منطقی,Bi aqilmendî,за логікою речей,sensibly,"Wir sollten sinnvollerweise zuerst einen Plan erstellen, bevor wir mit dem Bau beginnen."
4,stellenweise,Yer yer,في بعض الأماكن,در برخی جاها,Cî bi cî,місцями,in places,Die Straße ist nach dem Unwetter stellenweise immer noch stark verschmutzt.
4,überraschenderweise,Sürpriz bir şekilde,بشكل مفاجئ,به طور غافلگیرکننده,Bi surprîzî,несподівано,surprisingly,"Er hat den Wettbewerb überraschenderweise gewonnen, obwohl er kaum trainiert hatte."
4,vergleichsweise,Nispeten,بالمقارنة,به طور نسبی,Li gorî yên din,порівняно,comparatively,Im Gegensatz zu anderen Städten sind die Mieten hier noch vergleichsweise günstig.
4,verständlicherweise,Anlaşılır bir şekilde,بشكل مفهوم,به طور قابل درک,Wekî tê fêmkirin,"зрозуміло, що",understandably,Nach dem langen Flug war sie verständlicherweise extrem müde und erschöpft.
4,die Aufnahmeprüfung,Giriş sınavı,امتحان قبول,آزمون ورودی,Ezmûna destpêkê,вступний іспит,entrance exam,"Um an der Kunstakademie studieren zu können, muss man eine schwere Aufnahmeprüfung bestehen."
4,"das Bühnenbild, -er",Sahne dekoru,تصميم الديكور المسرحي,دکور صحنه,Dekora sehneyê,театральна декорація,stage design,Das Bühnenbild bei der gestrigen Operaufführung war beeindruckend und sehr modern.
4,"der Klassiker, -",Klasik eser/yazar,كلاسيكي,اثر کلاسیک,Klasîk,класик,classic,"""Faust"" von Goethe gilt als einer der bedeutendsten Klassiker der deutschen Literatur."
4,"die Niederlage, -n",Yenilgi,هزيمة,شکست,Têkçûn,поразка,defeat,Nach der bitteren Niederlage im Finale war die Enttäuschung bei der Mannschaft groß.
4,"der Spielplan, -¨e",Gösteri programı,جدول العروض,برنامه نمایش,Plana lîstikê,репертуар,schedule / repertoire,Der neue Spielplan des Theaters enthält viele interessante Stücke zeitgenössischer Autoren.
4,"der Studiengang, -¨e",Öğrenim dalı,تخصص جامعي,رشته تحصیلی,Beşa xwendinê,спеціальність (курс навчання),course of study,Der Studiengang Informatik erfreut sich bei jungen Leuten immer größerer Beliebtheit.
4,aufführen,Sahnelemek,يعرض / يمثل,اجرا کردن,Lîstin,ставити (виставу),to perform,Die Theatergruppe wird das neue Stück im nächsten Monat zum ersten Mal öffentlich aufführen.
4,vielfältig,Çeşitli,متنوع,متنوع,Pirreng,різноманітний,diverse / varied,Die Aufgaben in meinem neuen Job sind sehr vielfältig und abwechslungsreich.
4,zeitgenössisch,Çağdaş,معاصر,معاصر,Hevdem,сучасний,contemporary,In dieser Galerie wird vor allem zeitgenössische Kunst von jungen Künstlern ausgestellt.
5,"die Fotomontage, -n",Fotomontaj,مونتاج الصور,فوتومونتاژ,Fotomontaj,фотомонтаж,photomontage,Durch eine geschickte Fotomontage in der Werbung werden oft unrealistische Schönheitsideale erzeugt.
5,"das Hilfsmittel, -",Yardımcı araç,وسيلة مساعدة,ابزار کمکی,Amraza alîkar,допоміжний засіб,aid / tool,"Brillen sind wichtige optische Hilfsmittel, die Millionen von Menschen den Alltag erleichtern."
5,"die Kampagne, -n",Kampanya,حملة,کمپین,Kampanya,кампанія,campaign,Die neue Marketingkampagne setzt auf Natürlichkeit und verzichtet fast vollständig auf Bildbearbeitung.
5,"das Styling, -s",Stil verme / Şekillendirme,تصفيف / تجميل,استایل / طراحی ظاهر,Şêwazdan,стайлінг / стилізація,styling,Ein professionelles Styling kann das Selbstbewusstsein vor einem wichtigen Vorstellungsgespräch stärken.
5,wirken,Etki etmek / görünmek,يؤثر / يبدو,اثر کردن / به نظر رسیدن,Tesîr kirin / Xuya bûn,діяти / справляти враження,to work / seem,"Dunkle Farben wirken oft eleganter, können aber in kleinen Räumen auch sehr bedrückend sein."
5,"die Ausgabe, -n",Baskı / Yayın / Sayı,طبعة / إصدار,نسخه / انتشار,Çap / Weşandin,видання / випуск,issue / edition,In der aktuellen Ausgabe des Modemagazins werden die neuesten Trends für den Herbst vorgestellt.
5,"die Ausschreibung, -en",İlan / İhale,مناقصة / إعلان رسمي,فراخوان / آگهی,Daxuyanî,оголошення (конкурсу/тендеру),tender / announcement,Das Unternehmen hat eine Ausschreibung für ein neues Logo-Design veröffentlicht.
5,"der Aspekt, -e",Bakış açısı / Yön,جانب / وجهة نظر,جنبه / دیدگاه,Alî / Perspektîf,аспект,aspect,Ein wesentlicher Aspekt der modernen Medizin ist die ganzheitliche Betrachtung des Patienten.
5,die Klamotten (Pl.),Giysiler (argo/günlük),ملابس (عامية),لباس / رخت و لباس,Cil û berg,одяг / шмотки,clothes (slang),"Er gibt viel Geld für teure Klamotten aus, obwohl er eigentlich sparen müsste."
5,"der Laufsteg, -e",Podyum,منصة عرض الأزياء,سکوی نمایش مد,Podyûm,подіум,catwalk,Die Models präsentierten die gewagten Entwürfe der Designer mit großer Sicherheit auf dem Laufsteg.
5,"der Makel, -",Kusur / Leke,عيب / شائبة,نقص / لکه,Kêmasî / Lek,вада / недолік,flaw / blemish,Kleine Makel machen ein Gesicht oft erst interessant und verleihen ihm einen individuellen Charakter.
5,"das Model, -s",Model / Manken,عارض أزياء,مدل,Model / Mankenvary,модель,model,"Viele junge Frauen träumen davon, als Model auf den großen Bühnen in Paris oder Mailand zu stehen."
5,"der Wettbewerb, -e",Yarışma,مسابقة,مسابقه / رقابت,Pêşbirk,конкурс / змагання,competition,An dem Schönheitswettbewerb nahmen Kandidatinnen aus allen Teilen des Landes teil.
5,sich beschränken auf,...ile yetinmek/sınırlamak,يقتصر على,محدود شدن به,Bi sînor kirin,обмежуватися чимось,to limit oneself to,In der Fastenzeit beschränken sich viele Menschen auf eine sehr einfache und fettarme Ernährung.
5,durchblättern,Sayfalarına göz atmak,يتصفح,ورق زدن,Di ser re nihêrtin,перегортати / проглядати,to flip through,"Während sie auf den Arzt wartete, blätterte sie gelangweilt eine alte Zeitschrift durch."
5,irritieren,Rahatsız etmek / Şaşırtmak,يزعج / يربك,کلافه کردن / گیج کردن,Tevlîhev kirin,дратувати / збивати з пантелику,to irritate / confuse,Die ständigen Geräusche im Großraumbüro irritieren mich bei meiner konzentrierten Arbeit.
5,sein lassen,Bırakmak / Vazgeçmek,يترك / يدع,رها کردن / گذاشتن,Bi dû xwe hiştin,облишити / припинити,to let be / stop,"Wenn man wirklich gesund leben will, sollte man das Rauchen und den übermäßigen Alkoholkonsum sein lassen."
5,staunen über (+Akk),...ye şaşırıp kalmak,يندهش من,تعجب کردن از,Ecêbgirtî man,дивуватися чомусь,to be amazed at,Die Zuschauer konnten nur über die akrobatischen Höchstleistungen der Turner staunen.
5,stylen,Stil vermek,يصفف / يجمل,استایل دادن,Şêwaz dan,стилізувати,to style,"Er verbringt jeden Morgen viel Zeit damit, seine Haare aufwendig zu stylen."
5,vorführen,Sunmak / Sergilemek,يعرض / يقدم,نمایش دادن,Nîşan dan,демонструвати / показувати,to demonstrate,"Der Fitnesstrainer führte die korrekte Ausführung der Kniebeugen genau vor, um Verletzungen zu vermeiden."
5,vorschreiben,Emretmek / Kural koymak,يفرض / يملي,تعیین کردن / حکم کردن,Fermankirin,приписувати / пред'яквати,to prescribe / dictate,"Niemand sollte einem anderen Menschen vorschreiben dürfen, wie er sich zu kleiden hat."
5,verzichten auf (+Akk),...den feragat etmek,يتنازل عن,صرف‌نظر کردن از,Dest jê berdan,відмовлятися від,to do without,Für den Schutz der Umwelt sollten wir öfter auf Plastikverpackungen und Flugreisen verzichten.
5,zustimmen,Onaylamak / Katılmak,يوافق,موافقت کردن,Pejirandin,погоджуватися,to agree,"Ich kann deiner Meinung, dass Schönheit nur oberflächlich ist, nicht uneingeschränkt zustimmen."
5,attraktiv,Çekici,جذاب,جذاب,Balkêş,привабливий,attractive,Ein gepflegtes Äußeres wird in vielen Berufen als attraktiv und professionell wahrgenommen.
5,selbstbewusst,Kendine güvenen,واثق من نفسه,با اعتماد به نفس,Bi bawerî bi xwe,самовпевнений,self-confident,"Wer selbstbewusst auftritt, hat oft bessere Chancen, seine Ziele im Berufsleben zu erreichen."
5,vielseitig,Çok yönlü,متعدد الجوانب,همه‌فن‌حریف,Pir alî,різнобічний,versatile,Das Training im Fitnessstudio ist sehr vielseitig und spricht alle Muskelgruppen des Körpers an.
5,"die Entdeckung, -en",Keşif,اكتشاف,کشف,Vedîtin,відкриття,discovery,Die Entdeckung neuer Vitamine hat unser Verständnis von Ernährung grundlegend verändert.
5,"die Mentalität, -en",Zihniyet,عقلية,طرز فکر / ذهنیت,Hişmendî,менталітет,mentality,In verschiedenen Kulturen herrscht oft eine unterschiedliche Mentalität in Bezug auf Körperpflege.
5,"das Schönheitsideal, -e",Güzellik idealı,معيار الجمال,معیار زیبایی,Îdeala ciwaniyê,ідеал краси,beauty ideal,"In den sozialen Medien wird oft ein Schönheitsideal vermittelt, das für die meisten Menschen unerreichbar ist."
5,prägen,Şekillendirmek / Etkilemek,يطبع / يشكل,شکل دادن,Şêwe dan,формувати / накладати відбиток,to shape / influence,Unsere ästhetischen Vorstellungen werden stark von den Medien und der Werbung geprägt.
5,entdeckt werden,Keşfedilmek,يتم اكتشافه,کشف شدن,Hatina vedîtin,бути відкритим,to be discovered,Viele berühmte Models sind zufällig auf der Straße von Agenten entdeckt worden.
5,neidisch sein,Kıskanç olmak,يكون حسوداً,حسود بودن,Hesûd bûn,бути заздрісним,to be envious,"Man sollte nicht neidisch auf das Aussehen anderer sein, sondern lernen, sich selbst zu akzeptieren."
5,riskant sein,Riskli olmak,يكون مخاطراً,پرخطر بودن,Bi rîsk bûn,бути ризикованим,to be risky,"Schönheitsoperationen können sehr riskant sein, wenn sie nicht von qualifizierten Ärzten durchgeführt werden."
5,stammen aus,...den gelmek (köken),ينحدر من,اهل جایی بودن,Jê hatin,походити з,to originate from,Viele Inhaltsstoffe moderner Kosmetikprodukte stammen ursprünglich aus exotischen Pflanzen.
5,souverän,Kendinden emin / Özgür,واثق / سيادي,مسلط / مستقل,Serbixwe,суверенний / впевнений,confident,Trotz des Lampenfiebers meisterte sie ihren Auftritt auf der Bühne absolut souverän.
5,"die Augenbraue, -n",Kaş,حاجب,ابرو,Birû,брова,eyebrow,"Er zog überrascht eine Augenbraue hoch, als er von den neuen Plänen des Chefs erfuhr."
5,"die Äußerlichkeit, -en",Dış görünüş,المظهر الخارجي,ظاهر / امور ظاهری,Rûyê derve,зовнішність,external appearance,In einer tiefen Freundschaft sind Äußerlichkeiten vollkommen zweitrangig und unwichtig.
5,"die Garderobe, -n",Gardırop / Vestiyer,خزانة ملابس,جامه دان / کمد,Garderob,гардероб,wardrobe,Ihre gesamte Garderobe besteht fast ausschließlich aus Kleidung in den Farben Schwarz und Weiß.
5,die Körperbehaarung,Vücut kılları,شعر الجسم,موی بدن,Mûyên bedenê,волосяний покрив тіла,body hair,Der gesellschaftliche Umgang mit Körperbehaarung unterliegt einem ständigen Wandel der Modetrends.
5,"die Kosmetikerin, -nen",Kozmetik uzmanı (kadın),خبيرة تجميل,آرایشگر / متخصص زیبایی,Kozmetîker,косметолог,beautician,"Die Kosmetikerin führte eine gründliche Hautanalyse durch, bevor sie mit der Behandlung begann."
5,"die Wimper, -n",Kirpik,رمش,مژه,Bijang,вія,eyelash,Lange und dichte Wimpern verleihen dem Blick oft eine besondere Tiefe und Ausdruckskraft.
5,abraten von,...yapmamasını tavsiye etmek,ينصح بعدم,توصیه به نکردن کاری,Şîret kirin ku neke,відраджувати від,to advise against,"Ärzte raten dringend davon ab, extreme Diäten ohne professionelle Aufsicht durchzuführen."
5,sich engagieren für,...için çaba göstermek,يلتزم بـ / ينشط لـ,فعالیت کردن برای,Kar kirin bo,брати активну участь у,to get involved in,Sie engagiert sich seit Jahren für die Förderung eines gesunden Körperbildes bei Jugendlichen.
5,färben,Boyamak (saç vb.),يصبغ,رنگ کردن,Boyax kirin,фарбувати,to dye / color,"Er hat sich die Haare grau gefärbt, um für seine neue Filmrolle älter zu wirken."
5,lackieren,Cilalamak / Oje sürmek,يطلي,لاک زدن,Sîqil kirin,лакувати,to lacquer / varnish,"Bevor sie zur Party ging, lackierte sie sich die Fingernägel in einem leuchtenden Rot."
5,plädieren für,...yi savunmak,يدعو إلى / يؤيد,دفاع کردن از,Parastin,виступати за / ратувати,to plead for,Experten plädieren für eine Kennzeichnungspflicht von bearbeiteten Fotos in sozialen Medien.
5,übertreiben,Abartmak,يبالغ,مبالغه کردن,Mezin kirin,перебільшувати,to exaggerate,"Man sollte es mit dem Sport nicht übertreiben, da der Körper auch Regenerationsphasen benötigt."
5,effektiv,Etkili,فعال / مؤثر,موثر,Bi bandor,ефективний,effective,"Yoga ist eine sehr effektive Methode, um sowohl die Beweglichkeit als auch die innere Ruhe zu fördern."
5,"die Lücke, -n",Boşluk / Açık,فجوة / نقص,شکاف / فاصله,Kêmasî / Kun,прогалина / лакуна,gap,"Eine Zahnlücke kann ein markantes Merkmal sein, das einem Gesicht Individualität verleiht."
5,kein Auge zutun,Gözünü kırpmamak,لم يغمض له جفن,چشم روی هم نگذاشتن,Çavê xwe ne girtin,не зімкнути очей,not sleep a wink,Vor der wichtigen Operation konnte der Patient die ganze Nacht vor Aufregung kein Auge zutun.
5,jemandem die Augen öffnen,Birinin gözünü açmak,يفتح عيني شخص,چشم کسی را باز کردن,Çavê yekî vekirin,відкрити комусь очі,to open s.o.'s eyes,Das ehrliche Gespräch mit meiner Freundin hat mir endlich die Augen über meine Situation geöffnet.
5,beide Augen zudrücken,Görmezden gelmek,يغض الطرف,نادیده گرفتن,Çavê xwe girtin,закривати на щось очі,to turn a blind eye,Der Trainer hat bei dem kleinen Regelverstoß des Spielers noch einmal beide Augen zugedrückt.
5,auf eigenen Füßen stehen,Kendi ayakları üzerinde durmak,يعتمد على نفسه,روی پای خود ایستادن,Li ser lingên xwe man,стояти на власних ногах,to stand on one's own feet,"Es ist ein wichtiger Teil des Erwachsenwerdens, finanziell endlich auf eigenen Füßen zu stehen."
5,auf großem Fuß leben,Lüks içinde yaşamak,يعيش برفاهية,مرفه زندگی کردن,Bi dewlemendî jiyan,жити на широку ногу,to live in luxury,"Seit er befördert wurde, hat er angefangen, auf ziemlich großem Fuß zu leben."
5,kalte Füße bekommen,Son anda korkmak,يتراجع في آخر لحظة,ترسیدن (در آخرین لحظه),Tirsiyan,злякатися в останній момент,to get cold feet,Kurz vor dem Bungeesprung bekam er plötzlich kalte Füße und trat von der Plattform zurück.
5,etwas hängt einem zum Hals heraus,Bir şeyden bıkmak,مل من شيء ما,از چیزی جان به لب شدن,Ji tiştekî bezîn,набриднути по саме горло,to be sick of sth.,Die ständigen Diskussionen über Diäten hängen mir mittlerweile wirklich zum Hals heraus.
5,jemandem um den Hals fallen,Birinin boynuna sarılmak,يعانق بشدة,آویزان گردن کسی شدن,Bi stûyê yekî ve girtin,кидатися комусь на шию,to hug someone,"Als sie sich nach Jahren wiedersahen, fielen sie sich vor Freude weinend um den Hals."
5,Hals über Kopf,Apar topar / Düşüncesizce,بتهور / بسرعة قصوى,سراسیمه,Ser û binî,стрімголов / поспіхом,head over heels,Er hat sich Hals über Kopf in seine neue Kollegin verliebt und kann an nichts anderes mehr denken.
5,etwas in die Hand nehmen,Bir işe el atmak / Sorumluluk almak,يتولى زمام الأمور,کنترل چیزی را به دست گرفتن,Dest avêtin karî,брати щось у свої руки,to take charge,"Wenn man etwas verändern will, muss man die Initiative ergreifen und die Dinge selbst in die Hand nehmen."
5,zwei linke Hände haben,Eli işe yakışmamak / Beceriksiz olmak,لديه يدان يسرى (أخرق),دست و پا چلفتی بودن,Destê wî naçe kar,бути незграбним,to be clumsy,"Beim Aufbau des Schranks stellte sich heraus, dass er handwerklich leider zwei linke Hände hat."
5,in festen Händen sein,İlişkisi olmak,مرتبط عاطفياً,در رابطه بودن,Bi kesekî re bûn,мати постійного партнера,to be in a relationship,"Da sie bereits seit fünf Jahren in festen Händen ist, hat sie kein Interesse an neuen Bekanntschaften."
5,den Kopf verlieren,Paniklemek / Aklını yitirmek,يفقد صوابه,دستپاچه شدن,Serê xwe winda kirin,втрачати голову,to lose one's head,"In einer Notsituation ist es lebenswichtig, ruhig zu bleiben und auf keinen Fall den Kopf zu verlieren."
5,sich etwas durch den Kopf gehen lassen,Bir şeyi iyice düşünmek,يفكر في أمر ما ملياً,در مورد چیزی فکر کردن,Di serê xwe de derbas kirin,прокручувати в голові,to think sth. over,Ich werde mir Ihren interessanten Vorschlag in Ruhe durch den Kopf gehen lassen und Ihnen dann antworten.
5,von Kopf bis Fuß,Tepeden tırnağa,من الرأس إلى القدم,از سر تا پا,Ji serî heta binî,з голови до ніг,from head to toe,Bei der Hochzeit war die Braut ganz traditionell von Kopf bis Fuß in Weiß gekleidet.
5,eine starke Schulter zum Anlehnen brauchen,Yaslanacak bir omuz aramak,يحتاج سنداً,نیاز به تکیه‌گاه داشتن,Hewcedarî piştgiriyê bûn,"потребувати плеча, на яке можна спертися",shoulder to lean on,In schwierigen Zeiten braucht jeder Mensch eine starke Schulter zum Anlehnen und Ausweinen.
5,etwas auf die leichte Schulter nehmen,Bir şeyi hafife almak,يستهين بأمر ما,چیزی را آسان گرفتن,Tiştekî sivik girtin,легковажити чимось,to take sth. lightly,Man sollte gesundheitliche Probleme niemals auf die leichte Schulter nehmen und frühzeitig zum Arzt gehen.
5,die Beweglichkeit,Hareketlilik / Esneklik,مرونة / قدرة على الحركة,تحرک / انعطاف‌پذیری,Tevgerî,рухливість,mobility,Regelmäßiges Dehnen verbessert die Beweglichkeit der Gelenke und beugt Schmerzen im Alter vor.
5,die Fitness,Zindelik / Form,لياقة بدنية,آمادگی جسمانی,Fitnes,фітнес,fitness,"Um seine körperliche Fitness zu steigern, trainiert er dreimal pro Woche in einem Sportverein."
5,"das Gelenk, -e",Eklem,مفصل,مفصل,Gehek,суглоб,joint,"Schwimmen ist eine sehr gelenkschonende Sportart, da das Wasser die Gelenke entlastet."
5,das Gleichgewicht,Denge,توازن,تعادل,Hevsengî,рівновага,balance,"Ein gut trainierter Gleichgewichtssinn hilft dabei, das Gleichgewicht auch auf unebenem Boden zu halten."
5,"die Haltung, -en",Duruş / Tavır,وضعية / موقف,فیگور / نگرش,Helwest,постава / позиція,posture,Eine aufrechte Haltung signalisiert Selbstbewusstsein und ist zudem gesund für die Wirbelsäule.
5,die Kondition,Kondisyon / Şart,لياقة / شرط,وضعیت بدنی / شرط,Kondîsyon,кондиція / стан,condition,Für einen Marathonlauf benötigt man eine außergewöhnlich gute Ausdauer und körperliche Kondition.
5,die Koordination,Koordinasyon,تنسيق,هماهنگی,Koordînasyon,координація,coordination,"Tanzen schult nicht nur das Rhythmusgefühl, sondern verbessert auch die allgemeine Koordination."
5,"der Muskel, -n",Kas,عضلة,ماهیچه,Masûlke,м'яз,muscle,Nach dem ersten Krafttraining im Fitnessstudio hatte er einen starken Kater in fast jedem Muskel.
5,berühren,Dokunmak,يلمس,لمس کردن,Dest lê dan,торкатися,to touch,"Es ist faszinierend zu sehen, wie die Sonnenstrahlen am Morgen die Wasseroberfläche berühren."
5,kratzen,Kaşımak / Tırmalamak,يخدش / يحك,خاراندن,Xurandin,чухати / дряпати,to scratch,"Wenn die Haut trocken ist, fängt sie oft an zu jucken, und man hat das Bedürfnis, sich zu kratzen."
5,kreisen,Daire çizmek / Dönmek,يدور,چرخیدن,Dor gerîn,кружляти,to circle,"Um die Schultern zu entspannen, sollte man sie mehrmals langsam nach hinten kreisen lassen."
5,rutschen,Kaymak,ينزلق,لیز خوردن,Şimitîn,ковзати,to slide,"Passen Sie auf, der Boden ist frisch gewischt und man kann dort sehr leicht ausrutschen."
5,verschränken,(Kolları) Kavuşturmak,يشبك (الأطراف),ضربدری قرار دادن,Destên xwe girêdan,схрещувати,to cross (arms),"Er blieb stehen und verschränkte die Arme vor der Brust, während er auf eine Antwort wartete."
5,sich vorbeugen,Öne eğilmek,ينحني للأمام,خم شدن به جلو,Xwe xwar kirin,нахилятися вперед,to lean forward,"Um die kleinen Details auf dem Foto besser erkennen zu können, musste er sich tief vorbeugen."
5,jemandem liegt etwas (nicht),Bir şey birine (hiç) uymamak,يناسب (أو لا يناسب) شخصاً,به کسی (ن)ساختن,Li gora yekî bûn,комусь щось (не) підходить,to (not) suit s.o.,"Mannschaftssportarten liegen mir überhaupt nicht, ich bevorzuge es, alleine im Wald zu joggen."
5,gelenkig,Esnek,مرن,منعطف,Nerm,гнучкий,flexible,"Turner müssen extrem gelenkig sein, um die komplizierten Übungen fehlerfrei ausführen zu können."
5,sanft,Yumuşak / Nazik,لطيف / ناعم,نرم / ملایم,Nermik,ніжний / м'який,gentle,"Eine sanfte Massage kann dabei helfen, Verspannungen im Nackenbereich wirkungsvoll zu lösen."
5,etwas Ausgefallenes,Sıra dışı bir şey,شيء غريب / غير مألوف,چیزی غیرعادی,Tiştekî xerîb,щось незвичайне,something unusual,"Zu ihrem dreißigsten Geburtstag wünscht sie sich etwas ganz Ausgefallenes, wie einen Fallschirmsprung."
5,"der Inserent, -en",İlan veren,صاحب الإعلان,آگهی‌دهنده,Îlanker,подавець оголошення,advertiser,Der Inserent sucht über die Lokalzeitung nach einer zuverlässigen Haushaltshilfe für seine Mutter.
5,"das Niveau, -s",Düzey / Seviye,مستوى,سطح,Asta / Nîvo,рівень,level,"Das sprachliche Niveau in diesem Kurs ist sehr hoch, da alle Teilnehmer bereits über Vorkenntnisse verfügen."
